id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14219181,Olimpíadas,86372184,Miriam,,Centro,-22.91359,-43.18172,Entire home/apt,342.0,7,0,,,1,363,0,
818616313547984988,Casa completa na Babilônia-Leme,15832707,Ivanir,,Leme,-22.95927,-43.17142,Entire home/apt,411.0,7,7,2025-06-23,0.3,1,345,2,
760296280457659439,Casa no Recreio Posto 12,487737674,Solange,,Recreio dos Bandeirantes,-23.029778534459105,-43.47003847360611,Entire home/apt,500.0,1,21,2025-06-22,0.62,2,357,3,
683158890115466198,Apto Barra da Tijuca (metrô e 5min da praia a pé),6947193,Glaucia,,Barra da Tijuca,-23.00524278909957,-43.32196545700837,Entire home/apt,,4,6,2025-03-05,0.18,1,0,2,
40913521,Apt sea view a few steps from the beach,13580277,Marcio,,Copacabana,-22.969835,-43.183781,Entire home/apt,348.0,1,41,2025-05-02,0.68,49,99,8,
1024658671920912133,Flor da Barra-Beleza e Encanto,47584281,Renato Silva Vianna,,Jacarepaguá,-22.969760160717183,-43.3918689923573,Entire home/apt,750.0,1,10,2025-08-14,0.57,160,269,7,
16301344,Belo e Aconchegante,106654802,Alexandre,,São Cristóvão,-22.90539,-43.21902,Entire home/apt,,2,58,2025-09-19,0.74,1,110,1,
1266000935826982273,Luxo - Lagoa Rodrigo de Freitas,656788114,Marco,,Ipanema,-22.9789449,-43.1994189,Entire home/apt,2893.0,1,11,2025-08-26,1.02,1,305,11,
1214470910252024648,Apartamento duplex vista mar,381975103,Miguel,,Barra da Tijuca,-23.01133,-43.38798,Entire home/apt,2500.0,1,0,,,1,365,0,
947782942681962275,"Apartamento completo, próximo ao ""ROCK IN RIO""",529026842,Renato,,Gardênia Azul,-22.95705279905885,-43.34823035707063,Entire home/apt,,4,1,2024-08-28,0.08,1,52,0,
769380159656914902,! Apto Leblon 65 m² -2 Qd Praia+Estacionamento,35739862,Rodrigo,,Leblon,-22.9839315,-43.2220065,Entire home/apt,2000.0,2,7,2025-03-17,0.22,18,364,2,
926866691491200496,Apto com linda vista p/ a praia.,494650347,Marcos,,Barra da Tijuca,-23.00709,-43.43132,Entire home/apt,405.0,4,3,2025-03-04,0.13,1,263,1,
576198412123425318,Curtição no Rio – 3 quartos cerca mar,91654021,Daniel,,Copacabana,-22.96832,-43.18149,Entire home/apt,721.0,5,0,,,151,180,0,
803032694915257983,Flat in Copacabana 2 minutes from the beach,24340761,Iraceia,,Copacabana,-22.96520655571387,-43.17706996873248,Entire home/apt,400.0,3,11,2024-05-06,0.34,1,114,0,
643548215117789227,Apt Copacabana 5min praia  Ht Cop Palac lado metrô,462933053,Kátia Rosana,,Copacabana,-22.964220571530557,-43.17915671957397,Entire home/apt,886.0,2,10,2025-06-22,0.36,1,180,6,
1303874265995522697,Sea View and Balcony with Bathtub | Q9,665278507,Vitor,,Copacabana,-22.96364756028752,-43.17544718621174,Entire home/apt,477.0,1,17,2025-09-18,1.97,24,329,17,
1303631920579236591,Quarto Suíte Confortável - Cobertura no Flamengo,349681163,Amanda,,Flamengo,-22.93452,-43.17768,Private room,183.0,2,8,2025-09-02,0.89,1,31,8,
1499539223883733663,Santa Clara. Posto 4. 2 cuadras playa Copacabana.,19251262,Luis Alberto,,Copacabana,-22.97200677650212,-43.18646915912255,Entire home/apt,275.0,3,0,,,5,6,0,
1312415826755327487,Vista espetacular com 2  quartos na Glória,163078550,Camila,,Centro,-22.915595486532972,-43.17724569770367,Entire home/apt,1350.0,4,2,2025-03-05,0.22,1,280,2,
1450932360591120484,"Espaço inteiro: Loft, Rio de Janeiro Guaratiba",703109792,Gabrielly,,Guaratiba,-22.9612966,-43.6036094,Entire home/apt,129.0,1,11,2025-09-21,4.65,2,363,11,
